job,website,company,salary
Python高级开发工程师,http://company.zhaopin.com/%E5%8C%97%E4%BA%AC%E6%A3%A3%E5%8D%97%E6%96%B0%E5%AE%87%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC120570227.htm,北京棣南新宇科技有限公司,15001-20000
Python开发工程师,http://company.zhaopin.com/%E5%8C%97%E4%BA%AC%E6%81%92%E4%BF%A1%E9%80%9A%E8%AF%9A%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC188304626.htm,北京恒信通诚科技有限公司,5000-8000
linux运维工程师（熟练python）,http://company.zhaopin.com/CC311289936.htm,北京云纵信息技术有限公司,18000-28000
后端工程师/Python工程师,http://company.zhaopin.com/CC514689632.htm,广州胖虾网络科技有限公司,4001-6000
Python工程师（中级）,http://company.zhaopin.com/CC325098280.htm,北京明特量化信息技术有限公司,15000-25000
python开发工程师 [北京],http://company.zhaopin.com/CC562114535.htm,深圳市源极光科技有限公司,15000-20000
Python开发工程师待遇从优,http://company.zhaopin.com/CC444406089.htm,广州百单网互联网科技有限公司,4001-6000
Python开发工程师待遇从优,http://company.zhaopin.com/CC540062934.htm,北京升凯网络科技有限公司,4001-6000
python开发工程师,http://company.zhaopin.com/CC508620126.htm,中软国际科技服务有限公司,面议
Python开发工程师待遇从优,http://company.zhaopin.com/CC540049933.htm,北京玖易创新网络科技有限公司,4001-6000
Python工程师【坐标郑州】,http://company.zhaopin.com/CC319483532.htm,河南奇酷信息技术有限公司,10001-15000
python工程师,http://company.zhaopin.com/CC637701223.htm,浙江九州云信息科技有限公司,15000-30000
开发工程师（Go&Python）,http://company.zhaopin.com/CC608869229.htm,北京金山云网络技术有限公司,15000-30000
Python数据工程师,http://company.zhaopin.com/CC320449689.htm,易思互动(北京)科技有限公司,12000-24000
高级Python WEB工程师（SAAS方向）,http://company.zhaopin.com/CC320449689.htm,易思互动(北京)科技有限公司,20000-35000
python工程师-大数据方向,http://company.zhaopin.com/CC434383686.htm,北京爱尖子教育科技有限责任公司,15000-30000
高级python工程师（北京）,http://company.zhaopin.com/CC491469330D90250081000.htm,深圳码隆科技有限公司,25000-40000
Python工程师,http://company.zhaopin.com/CC273511830.htm,零氪信息技术(北京)有限公司,15001-20000
Python工程师,http://company.zhaopin.com/%E5%8C%97%E4%BA%AC%E6%99%BA%E6%85%A7%E6%98%9F%E5%85%89%E4%BF%A1%E6%81%AF%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC467352913.htm,北京智慧星光信息技术有限公司,20000-25000
python工程师(中关村),http://special.zhaopin.com/pagepublish/19691181/index.html,北京腾信软创科技股份有限公司,10001-15000
Python开发工程师（北京）,http://company.zhaopin.com/CZ544024680.htm,深圳市前海谷雨网络科技有限公司,10000-20000
Python开发工程师,http://company.zhaopin.com/CC596626722.htm,开网科技(北京)有限公司,10001-15000
Python软件工程师（仪器研发类）,http://company.zhaopin.com/CC566441529.htm,卡尤迪生物科技(北京)有限公司,15001-20000
Python web 开发工程师,http://company.zhaopin.com/CC000584532.htm,北京华胜天成科技股份有限公司,15001-20000
算法工程师（Java/Scala/Python/R方向）,http://company.zhaopin.com/CC213935487.htm,北京中能博泰科技有限公司,15001-20000
python开发工程师,http://company.zhaopin.com/CC366553888.htm,大连信雅达软件有限公司北京办事处,10001-15000
数据挖掘工程师（R/Python）-北京-00070,http://company.zhaopin.com/CC681023527.htm,博易智软(北京)技术股份有限公司,10001-15000
Python开发工程师,http://company.zhaopin.com/CC293110035.htm,北京全品文教科技股份有限公司,15000-30000
Python/Django web开发工程师,http://company.zhaopin.com/CC336172833.htm,永盛志远科技集团有限公司,20001-30000
